url;clicks;impressions;ctr_%;position;melhor_query;impr_dessa_query;pos_dessa_query
/seo-para-clinicas-de-estetica/;0;417;0;43.8;consultoria de seo para clínica estética;132;28.8
/seo-para-clinicas/;0;321;0;69.5;seo para consultório;45;61.4
/para-comercios-locais/;0;255;0;27.8;negócio local perto de mim brasil;101;8.8
/;6;224;2.7;5.4;google;21;4.7
/google-perfil-empresa/;0;171;0;77.6;otimização google meu negócio;33;81.6
/blog/como-aparecer-no-google-maps/;0;161;0;62.6;como aparecer no google maps;42;71.5
/blog/como-saber-se-meu-site-esta-indexado/;2;157;1.3;9.4;este conteúdo é de um site indexado pelo google.;1;9
/como-aparecer-no-google/;0;149;0;58.5;aparecer no google;101;52.8
/seo-para-contadores/;0;140;0;65.2;seo para contabilidade;35;67.5
/blog/por-que-minha-empresa-nao-aparece-no-google/;0;133;0;10.3;por quê minha empresa não aparece no google;11;25.2
/blog/como-responder-avaliacoes-google-clinica/;0;116;0;7.2;como responder uma avaliação positiva no google;1;64
/blog/vale-a-pena-seo-para-pequena-empresa/;0;109;0;57.9;seo para pequenas empresas;68;69.0
/seo-para-dentistas/;0;109;0;25.0;seo para dentista;31;35.5
/blog/google-meu-negocio-nao-aparece/;0;95;0;11.6;google meu negócio não funciona;2;25
/consultoria-seo-local/;1;92;1.1;12.8;consultor de seo local;2;33
/seo-para-medicos/;0;87;0;38.7;seo para consultorios;17;18.1
/para-advogados/;0;82;0;65.2;seo para advogados;54;75.8
/blog/o-que-e-seo-local/;0;80;0;39.3;seo local;29;29.6
/seo-local-goiania/;0;71;0;33.9;perto de mim seo;18;66.5
/blog/como-melhorar-posicionamento-empresa-google/;0;67;0;29.4;melhorar o posicionamento no google;14;33.9
/blog/por-que-meu-site-nao-aparece-no-google/;0;65;0;11.4;por que meu site não aparece no google;2;27.5
/consultor-seo-goiania/;2;47;4.3;16.5;seo em goiania;2;60
/guia-seo-local/;0;45;0;22.8;consultoria seo local;24;20.5
/contato/;0;40;0;19.4;;;
/seo-para-pequenas-empresas/;0;33;0;30.4;seo para pequenas empresas;23;34.4
/blog/por-que-minha-clinica-odontologica-nao-aparece-no-google/;0;31;0;6.3;;;
/consultoria-seo/rio-de-janeiro/;0;28;0;44.2;consultoria seo rj;8;33.4
/seo-para-clinicas-de-emagrecimento/;1;26;3.8;58.1;seo para nutricionista;16;90.2
/diagnostico-presenca-digital/;1;24;4.2;16.7;diagnóstico de presença digital;6;44.5
/para-profissionais-liberais/;0;24;0;14.6;;;
/seo-para-imobiliarias/;0;24;0;74.7;seo para imobiliarias;7;78.3
/blog/google-meu-negocio-para-corretor-de-imoveis/;0;23;0;5.4;;;
/auditoria-seo/;0;22;0;30.0;auditoria seo local;13;25.8
/blog/como-aparecer-google-clinica-estetica-goiania/;0;22;0;5.6;;;
/blog/como-migrar-site-para-outro-dominio/;0;22;0;17.6;migração de domínio;5;19.4
/cases/;0;21;0;5.8;;;
/blog/quanto-custa-consultoria-seo-local/;0;20;0;39.1;consultoria seo preço;2;70.5
/consultoria-seo/;0;19;0;20.3;;;
/blog/link-building-para-bets-o-que-avaliar/;0;18;0;18.3;backlinks para bets;10;16.7
/google-meu-negocio-para-clinicas/;0;18;0;33.4;google meu negocio para medicos;3;73.3
/blog/clinica-de-estetica-nao-aparece-no-google/;0;17;0;11.1;;;
/blog/erros-que-impedem-empresa-aparecer-no-google/;0;16;0;7.9;;;
/blog/seo-local-ou-seo-nacional-diferenca/;0;16;0;65.5;diferença entre seo e seo local;7;73.3
/sobre/;0;16;0;5.6;;;
/blog/como-receber-orcamentos-whatsapp-site/;0;15;0;12.9;como receber mais orçamento pelo whatsapp;7;19.9
/blog/quanto-tempo-leva-seo-local-clinicas/;1;14;7.1;55.7;quanto tempo demora seo local;11;69.9
/blog/google-perfil-atrapalhando-resultados/;0;14;0;9.2;perfil google sem resultado;10;10.3
/seo-para-afiliados-de-apostas/;0;14;0;36.4;seo para afiliados;14;36.4
/blog/como-otimizar-google-perfil-empresa/;0;13;0;48.5;otimização de ficha google;2;84
/blog/google-meu-negocio-para-clinicas-passo-a-passo/;0;13;0;8.8;;;
/blog/psicologo-pode-anunciar-no-google/;0;13;0;24.6;;;
/privacidade/;0;13;0;5.5;;;
/blog/erros-no-whatsapp-que-perdem-orcamento/;1;12;8.3;7.4;;;
/blog/site-ou-instagram-para-empresa-local/;0;12;0;7.2;;;
/blog/paginas-que-empresa-local-precisa-no-site/;0;11;0;18.3;site para empresas locais;3;48.3
/consultoria-de-backlinks/;0;11;0;65.6;consultor de links patrocinados;8;82.8
/blog/seo-para-contadores/;0;10;0;17.7;seo para contabilidade;2;40
/blog/marketing-para-escritorio-de-contabilidade/;0;9;0;40.9;seo para contabilidade;3;42.7
/blog/pet-shop-como-aparecer-no-google/;0;9;0;4.1;;;
/blog/dominio-caiu-o-que-fazer/;1;8;12.5;7.8;;;
/acompanhamento-seo/;0;8;0;6.9;;;
/blog/o-que-e-diagnostico-presenca-digital/;0;8;0;5.8;;;
/blog/responder-avaliacoes-google-sem-parecer-automatico/;0;8;0;8.4;;;
/blog/seo-para-profissionais-liberais/;0;8;0;10.1;;;
/blog/site-wix-wordpress-ou-site-otimizado-seo/;0;8;0;8.1;;;
/link-building-para-bets/;0;8;0;46.1;link building para bets;8;46.1
