query;intencao;bucket_planner_mes;cpc_ref;url_atual;gsc_impressoes_90d;gsc_cliques_90d;gsc_posicao_90d;status;acao
consultor seo goiânia;comercial local;50;R$ 22,34;/consultor-seo-goiania/;47;2;16.5;PROTEGER;4a posicao organica conferida na SERP. Nao alterar nada. E a prova de que a RCB ganha SERP local de baixa concorrencia.
criação de site goiânia;comercial local;500;R$ 17,61;/criacao-de-sites-goiania/;;;;CRIAR (feito nesta rodada);Maior demanda local medida e zero impressao ate hoje. Pagina criada em 18/08/2026.
criação de sites goiânia;comercial local;500;R$ 17,61;/criacao-de-sites-goiania/;;;;CRIAR (feito nesta rodada);Mesma pagina atende as duas variantes. Nao criar URL separada.
seo goiânia;comercial local;50;R$ 22,34;/seo-local-goiania/;71;0;33.9;ATACAR;"RCB fora do top 9 na SERP; GSC marca posicao 60 a 109 para 'seo em goiania'. A pagina existe e tem so 20 links internos editoriais. Reforcar antes de criar nada."
seo para clínicas de estética;comercial nacional;-;-;/seo-para-clinicas-de-estetica/;417;0;43.8;REFORMULAR;417 impressoes em 90 dias, posicao 43,8, ZERO clique. Maior gerador de impressao inutil do site. Sem backlink nao se ganha SERP nacional de nicho.
seo para clínicas / consultório;comercial nacional;-;-;/seo-para-clinicas/;321;0;69.5;REFORMULAR;321 impressoes, posicao 69,5, zero clique. Mesmo diagnostico da de estetica.
negócio local perto de mim brasil;local generica;-;-;/para-comercios-locais/;255;0;27.8;QUASE LA;101 impressoes na posicao 8,8 e nenhum clique. Melhor posicao real do site fora a marca. Titulo e description nao respondem a essa busca - e problema de CTR, nao de rank.
seo para dentista;comercial nacional;-;-;/seo-para-dentistas/;109;0;25.0;ATACAR;109 impressoes na posicao 25. A melhor colocada das paginas de nicho. Vale reforco antes das outras de saude.
como saber se meu site está indexado;dor / leiga;-;-;/blog/como-saber-se-meu-site-esta-indexado/;157;2;9.4;QUASE LA;157 impressoes na posicao 9,4 e 2 cliques - a pagina que mais clique gera fora a home. Falta caminho comercial: ela nao leva a lugar nenhum que venda.
por que minha empresa não aparece no google;dor / leiga;-;-;/blog/por-que-minha-empresa-nao-aparece-no-google/;133;0;10.3;QUASE LA;133 impressoes na posicao 10,3, zero clique. Um degrau da primeira pagina.
como responder avaliações do google;dor / leiga;-;-;/blog/como-responder-avaliacoes-google-clinica/;116;0;7.2;QUASE LA;116 impressoes na posicao 7,2 e zero clique. Ja esta na primeira pagina e nao converte atencao em visita - title e description nao batem com a pergunta.
google meu negócio não aparece;dor / leiga;-;-;/blog/google-meu-negocio-nao-aparece/;95;0;11.6;QUASE LA;95 impressoes na posicao 11,6. Mesmo caso: perto do topo, sem clique.
aparecer no google;dor / leiga;-;-;/como-aparecer-no-google/;149;0;58.5;ATACAR;"101 impressoes na posicao 52,8. Consulta enorme e generica; a pagina existe mas nao tem forca. Alvo natural do trabalho off-page."
como aparecer no google maps;dor / leiga;-;-;/blog/como-aparecer-no-google-maps/;161;0;62.6;ATACAR;161 impressoes, posicao 62,6. Tema de maior volume do grupo de dor.
otimização google meu negócio;comercial nacional;-;-;/google-perfil-empresa/;171;0;77.6;ATACAR;171 impressoes na posicao 77,6 apesar de 244 links internos. Prova de que link interno sozinho nao vence SERP nacional.
seo para pequenas empresas;comercial nacional;-;-;/seo-para-pequenas-empresas/;33;0;30.4;CANIBALIZACAO;A pagina comercial (posicao 34,4) e o artigo /blog/vale-a-pena-seo-para-pequena-empresa/ (posicao 69) disputam o termo exato. Definir dono: a comercial.
seo para consultorios;comercial nacional;-;-;/seo-para-medicos/;87;0;38.7;CANIBALIZACAO;/seo-para-medicos/ em 18,1 e /seo-para-clinicas/ em 72,2 na mesma consulta. Dono deve ser /seo-para-medicos/, que ja esta muito melhor colocada.
seo para contabilidade;comercial nacional;-;-;/seo-para-contadores/;140;0;65.2;CANIBALIZACAO;Tres URLs na mesma consulta e a comercial e a PIOR colocada (67,5) - os dois artigos estao em 40 e 42,7. Sinal invertido.
consultoria seo local;comercial nacional;-;-;/consultoria-seo-local/;92;1;12.8;CANIBALIZACAO;/guia-seo-local/ aparece em 20,5 e a pagina comercial em 42 - o guia informacional esta ganhando da pagina de venda, apesar dos 249 links internos dela.
site profissional / site para empresa goiânia;comercial local;-;-;/criacao-de-sites-goiania/;;;;OBSERVAR;Coberto pela pagina nova. Nao criar URL separada antes de ver o Search Console em 60 dias.
divulgar empresa no google;dor / leiga;-;-;/blog/como-divulgar-minha-empresa-no-google/;1;0;11;SEM SINAL;1 impressao na posicao 11 em 90 dias. Tema citado no briefing, mas a demanda nao aparece nos dados do dominio. Nao investir agora.
desentupimento, dedetização, chaveiro, topografia etc.;nicho novo;-;-;(nao existe);;;;IGNORAR POR ORA;Nenhuma impressao, nenhuma SERP conferida, nenhum case. Servem como exemplo dentro da pagina de criacao de site e como lista de prospeccao - nao como landing page.
