query;url;clicks;impressions;ctr_%;position
consultoria de seo para clínica estética;/seo-para-clinicas-de-estetica/;0;132;0;28.8
seo para clínicas de estética;/seo-para-clinicas-de-estetica/;0;113;0;42.8
aparecer no google;/como-aparecer-no-google/;0;101;0;52.8
negócio local perto de mim brasil;/para-comercios-locais/;0;101;0;8.8
seo para pequenas empresas;/blog/vale-a-pena-seo-para-pequena-empresa/;0;68;0;69.0
seo para site de clínica estética;/seo-para-clinicas-de-estetica/;0;67;0;68.3
seo para advogados;/para-advogados/;0;54;0;75.8
agência de seo para clínica estética;/seo-para-clinicas-de-estetica/;0;47;0;77.6
seo para consultório;/seo-para-clinicas/;0;45;0;61.4
como aparecer no google maps;/blog/como-aparecer-no-google-maps/;0;42;0;71.5
seo para consultorios;/seo-para-clinicas/;0;41;0;72.2
seo para clínica;/seo-para-clinicas/;0;40;0;93.5
seo para clinicas;/seo-para-clinicas/;0;37;0;69.4
seo para saúde;/seo-para-clinicas/;0;37;0;82.6
seo para contabilidade;/seo-para-contadores/;0;35;0;67.5
seo site contábil;/seo-para-contadores/;0;35;0;63.3
estratégia de seo para contabilidade;/seo-para-contadores/;0;34;0;71.3
como aparecer no google;/como-aparecer-no-google/;0;33;0;66
otimização google meu negócio;/google-perfil-empresa/;0;33;0;81.6
seo para dentista;/seo-para-dentistas/;0;31;0;35.5
seo local;/blog/o-que-e-seo-local/;0;29;0;29.6
otimização de ficha google;/google-perfil-empresa/;0;28;0;72.3
consultoria seo local;/guia-seo-local/;0;24;0;20.5
consultoria seo para pequenas empresas;/blog/vale-a-pena-seo-para-pequena-empresa/;0;24;0;52.5
empresa de otimização google meu negócio;/google-perfil-empresa/;0;24;0;86.4
seo para pequenas empresas;/seo-para-pequenas-empresas/;0;23;0;34.4
aparecer no google maps;/blog/como-aparecer-no-google-maps/;0;22;0;71.9
seo site de contabilidade;/seo-para-contadores/;0;22;0;77.2
google;/;0;21;0;4.7
quanto custa otimizar google meu negócio;/google-perfil-empresa/;0;21;0;72.9
