prioridade,score,dominio,url,tipo,origem,nicho,localidade,confirmado_ou_oportunidade,follow_status,custo,contato,destino_rcb,anchor_contexto,velocidade,risco,esforco,observacoes
1,95,naluprado.com.br,https://naluprado.com.br/,link de cliente / atribuicao,"verificado: site no ar, fetch em 12/08/2026",eventos musicais,Goiania GO,OPORTUNIDADE,follow provavel (site proprio do cliente),R$ 0,"Ana Lucia do Prado (Nalu) - contato direto do Renan",https://rcbseo.com.br/cases/,"credito de atribuicao no rodape ou na pagina de historia: 'Site e SEO local por RCB Consultoria'",dias,baixo,baixo,"Cliente real com case documentado. Site tem pagina de historia e Guia Musical - contexto natural para credito. Pedir link editorial, nao anchor exato de dinheiro."
2,80,ideiagoias.com.br,https://ideiagoias.com.br/grupo-ideia-goias,publicacao paga em rede de jornais,"verificado: pagina institucional descreve imprensa propria e 17 jornais",marketing/midia,Goiania GO,OPORTUNIDADE,nao verificavel sem publicar,nao publicado,site institucional,https://rcbseo.com.br/consultor-seo-goiania/,"materia ou entrevista com o consultor",semanas,MEDIO-ALTO,medio,"CONCORRENTE que tambem vende publicacao. Rede propria = footprint compartilhado por muitos clientes. Avaliar se o ganho compensa entrar num padrao que o Google ja consegue mapear."
3,78,acieg.com.br,https://acieg.com.br/associados/,associacao empresarial / associado,"verificado: pagina de beneficios de associado",empresarial,Goias,OPORTUNIDADE,a verificar na pagina de associados,anuidade (nao publicada),https://acieg.com.br/ (form de parceria),https://rcbseo.com.br/,"perfil de associado + newsletter Minuto ACIEG",semanas,baixo,medio,"Entidade de 1937, forte no estado. Beneficio citado: divulgacao mensal dos novos associados na newsletter. Confirmar se ha listagem publica indexavel com link."
4,75,cdlgoiania.com.br,https://cdlgoiania.com.br/associe-se/,associacao comercial / associado,"verificado: pagina de planos de associado",comercio,Goiania GO,OPORTUNIDADE,a verificar,"planos MEI/Essencial (valor nao publicado)",site,https://rcbseo.com.br/,"perfil de associado",semanas,baixo,medio,"Plano Sou MEI existe - entrada barata. Confirmar se gera pagina publica indexavel."
5,74,curtamais.com.br,https://curtamais.com.br/goiania/,portal local / entrevista,"verificado: publicou entrevista com empreendedora local assinada por colunista",lifestyle/negocios,Goiania GO,OPORTUNIDADE,a verificar,nao publicado,redacao via site,https://rcbseo.com.br/cases/,"entrevista sobre presenca digital de negocios locais em Goiania",semanas,baixo,medio,"Portal com trafego real em Goiania. Formato entrevista exclusiva ao Curta Mais ja existe e e replicavel. Angulo: dados de CNPJ + o que trava negocio local no Google."
6,72,go.agenciasebrae.com.br,https://go.agenciasebrae.com.br/,agencia de noticias institucional,"verificado: publica materias sobre pequenos negocios em GO",empreendedorismo,Goias,OPORTUNIDADE,a verificar,R$ 0,"Agencia Entremeios Comunicacao / Adrianne Vitoreli (62) 98144-2178 - contato citado em materia",https://rcbseo.com.br/consultoria-seo-local/,"fonte especialista em presenca digital para MPE",semanas,baixo,medio,"Dominio institucional forte. Caminho: ser fonte de materia, nao pedir link. Contato de imprensa e publico."
7,70,docevidade (dominio a confirmar),,link de cliente / atribuicao,"verificado que docevidade.com.br NAO resolve",confeitaria,Goiania GO,A VERIFICAR,desconhecido,R$ 0,contato direto do Renan,https://rcbseo.com.br/cases/,"credito de atribuicao",dias,baixo,baixo,"BLOQUEADO ate confirmar se o cliente tem site. O case e de Google Perfil da Empresa (Maps), pode nao existir site. Se so houver Instagram/linktree, nao ha backlink possivel - so citacao."
8,68,acieg.com.br,https://ficomex.acieg.com.br/,evento / expositor ou palestrante,"verificado: evento existe, edicoes 2025 e 2026",comercio exterior/negocios,Goias,OPORTUNIDADE,a verificar,custo de estande/patrocinio,ACIEG,https://rcbseo.com.br/,"pagina de expositor/palestrante",meses,baixo,alto,"Caro para o retorno provavel. Registrado por completude."
9,66,guiamais.com.br,https://www.guiamais.com.br/,diretorio / citacao NAP,"nao verificado nesta sessao - consta como plano em CLAUDE.md",diretorio,Brasil/Goiania,OPORTUNIDADE,geralmente nofollow,gratuito (plano basico),cadastro no site,https://rcbseo.com.br/,"nome, endereco, telefone identicos ao GBP",dias,baixo,baixo,"Citacao NAP vale para o Perfil da Empresa mesmo com nofollow. Nao esperar ganho de ranking organico."
10,66,apontador.com.br,https://www.apontador.com.br/,diretorio / citacao NAP,"nao verificado nesta sessao - consta como plano em CLAUDE.md",diretorio,Brasil,OPORTUNIDADE,geralmente nofollow,gratuito,cadastro no site,https://rcbseo.com.br/,"NAP identico",dias,baixo,baixo,"Mesmo racional do GuiaMais."
